No.,Athlete,Nation,Sport,Start Year,End Year,Games,Gender,Gold,Silver,Bronze,Total
1,Michael Phelps,United States,Swimming,2004,2016,Summer,M,23,3,2,28
2,Larisa Latynina,Soviet Union,Gymnastics,1956,1964,Summer,F,9,5,4,18
3,Marit Bjorgen,Norway,Cross-country skiing,2002,2018,Winter,F,8,4,3,15
4,Nikolai Andrianov,Soviet Union,Gymnastics,1972,1980,Summer,M,7,5,3,15
5,Ole Einar Bjorndalen,Norway,Biathlon,1998,2014,Winter,M,8,4,1,13
6,Boris Shakhlin,Soviet Union,Gymnastics,1956,1964,Summer,M,7,4,2,13
7,Edoardo Mangiarotti,Italy,Fencing,1936,1960,Summer,M,6,5,2,13
8,Takashi Ono,Japan,Gymnastics,1952,1964,Summer,M,5,4,4,13
9,Paavo Nurmi,Finland,Athletics,1920,1928,Summer,M,9,3,0,12
10,Birgit Fischer,Germany,Canoeing,1980,2004,Summer,F,8,4,0,12
11,Bjorn Daehlie,Norway,Cross-country skiing,1992,1998,Winter,M,8,4,0,12
12,Sawao Kato,Japan,Gymnastics,1968,1976,Summer,M,8,3,1,12
13,Jenny Thompson,United States,Swimming,1992,2004,Summer,F,8,3,1,12
14,Ryan Lochte,United States,Swimming,2004,2016,Summer,M,6,3,3,12
15,Dara Torres,United States,Swimming,1984,2008,Summer,F,4,4,4,12
16,Alexei Nemov,Russia,Gymnastics,1996,2000,Summer,M,4,2,6,12
17,Natalie Coughlin,United States,Swimming,2004,2012,Summer,F,3,4,5,12
18,Mark Spitz,United States,Swimming,1968,1972,Summer,M,9,1,1,11
19,Matt Biondi,United States,Swimming,1984,1992,Summer,M,8,2,1,11
20,Vera Caslavska,Czechoslovakia,Gymnastics,1960,1968,Summer,F,7,4,0,11
